Country,Year,population,Country_ID,latitude,longitude,GDP,TotalGDP
Albania,2018,2866376,AL,41.15333,20.16833,15337000000.0,330104000000.0
Algeria,2018,42505035,DZ,28.03389,1.65963,194507000000.0,3145938000000.0
Angola,2018,31297155,AO,-11.20269,17.87389,114189000000.0,1439229000000.0
Argentina,2018,44654882,AR,-38.4161,-63.61667,524431000000.0,8094978000000.0
Australia,2018,24963258,AU,-25.2744,133.77514,1417162000000.0,22874963000000.0
Austria,2018,8840521,AT,47.51623,14.55007,452787000000.0,6804768000000.0
Bangladesh,2018,163523103,BD,23.68499,90.35633,321379000000.0,6383522000000.0
Belgium,2018,11427054,BE,50.50389,4.46994,542885000000.0,8535322000000.0
Benin,2018,12383347,BJ,9.30769,2.31583,14257000000.0,284260000000.0
Bosnia and Herzegovina,2018,3387000,BA,43.91589,17.67908,20484000000.0,361674000000.0
Botswana,2018,2299141,BW,-22.32847,24.68487,17032000000.0,268304000000.0
Brazil,2018,206107261,BR,-14.235,-51.92528,1916934000000.0,27498145000000.0
Bulgaria,2018,6710798,BG,42.73388,25.48583,66318000000.0,1394653000000.0
Burkina Faso,2018,20438288,BF,12.23833,-1.56159,15916000000.0,331865000000.0
Burundi,2018,11859446,BI,-3.37306,29.91889,3037000000.0,80087000000.0
Cambodia,2018,16274522,KH,12.56568,104.99096,33181000000.0,630254000000.0
Cameroon,2018,24806383,CM,7.36972,12.35472,39992000000.0,716538000000.0
Canada,2018,37072620,CA,56.13037,-106.34677,1725300000000.0,28738085000000.0
Central African Republic,2018,4878657,CF,6.61111,20.93944,2280000000.0,39145000000.0
Chad,2018,16156531,TD,15.45417,18.73221,15334000000.0,245349000000.0
Chile,2018,18893191,CL,-35.67515,-71.54297,295428000000.0,4402607000000.0
Colombia,2018,49024465,CO,4.57087,-74.29733,334124000000.0,5249421000000.0
Costa Rica,2018,4957818,CR,9.74892,-83.75343,62422000000.0,1220181000000.0
Cyprus,2018,1270737,CY,35.12641,33.42986,25766000000.0,469995000000.0
Denmark,2018,5793636,DK,56.26392,9.50179,355293000000.0,5720441000000.0
Djibouti,2018,1071882,DJ,11.82514,42.59028,2913000000.0,57624000000.0
Dominican Republic,2018,10782053,DO,18.73569,-70.16265,85068000000.0,1615196000000.0
Ecuador,2018,17049547,EC,-1.83124,-78.18341,107479000000.0,1608553000000.0
El Salvador,2018,6219807,SV,13.79419,-88.89653,26021000000.0,456899000000.0
Finland,2018,5515525,FI,61.92411,25.74815,273993000000.0,3972166000000.0
France,2018,67158348,FR,46.22764,2.21375,2782838000000.0,41002981000000.0
Gabon,2018,2212318,GA,-0.80369,11.60944,16830000000.0,263455000000.0
Georgia,2018,3726549,GE,42.31541,43.35689,17905000000.0,399577000000.0
Germany,2018,82905782,DE,51.16569,10.45153,4053846000000.0,60635461000000.0
Ghana,2018,30637585,GH,7.94653,-1.02319,67259000000.0,1130811000000.0
Greece,2018,10732882,GR,39.07421,21.82431,213396000000.0,3312713000000.0
Guatemala,2018,16845685,GT,15.78347,-90.23076,73331000000.0,1516710000000.0
Guinea,2018,12704774,GN,9.94559,-9.69665,11857000000.0,396065000000.0
Guyana,2018,791556,GY,4.86042,-58.93018,4788000000.0,282379000000.0
Haiti,2018,10962362,HT,18.97119,-72.28522,16454000000.0,362350000000.0
Hungary,2018,9706964,HU,47.16249,19.5033,161185000000.0,2941004000000.0
Iceland,2018,352721,IS,64.96305,-19.02084,26261000000.0,453247000000.0
India,2018,1374659064,IN,20.59368,78.96288,2702930000000.0,54634783000000.0
Indonesia,2018,269951846,ID,-0.78928,113.92133,1042272000000.0,18868855000000.0
Ireland,2018,4898022,IE,53.41291,-8.24389,395641000000.0,7430812000000.0
Israel,2018,8882800,IL,31.04605,34.85161,376301000000.0,7183975000000.0
Italy,2018,60148658,IT,41.87194,12.56738,2100387000000.0,30602465000000.0
Jamaica,2018,2820097,JM,18.10958,-77.29751,15648000000.0,256804000000.0
Japan,2018,126811000,JP,36.20482,138.25292,5040881000000.0,60365542000000.0
Jordan,2018,10462306,JO,30.58516,36.23841,43432000000.0,718597000000.0
Kenya,2018,50207107,KE,-0.02356,37.90619,92211000000.0,1591969000000.0
Kuwait,2018,4323515,KW,29.31166,47.48177,138655000000.0,2045067000000.0
Lebanon,2018,5984119,LB,33.85472,35.86229,54900000000.0,227221000000.0
Liberia,2018,4944726,LR,6.42806,-9.4295,3264000000.0,62652000000.0
Libya,2018,6849055,LY,26.3351,17.22833,76682000000.0,666655000000.0
Luxembourg,2018,607950,LU,49.81527,6.12958,71118000000.0,1206161000000.0
Malawi,2018,18528081,MW,-13.25431,34.30153,9882000000.0,178493000000.0
Malaysia,2018,32910967,MY,4.21048,101.97577,358783000000.0,5785875000000.0
Maldives,2018,473099,MV,3.20278,73.22068,5398000000.0,93180000000.0
Mali,2018,20442030,ML,17.57069,-3.99617,17079000000.0,300793000000.0
Malta,2018,483903,MT,35.9375,14.37542,16161000000.0,315252000000.0
Mauritius,2018,1265577,MU,-20.3484,57.55215,14736000000.0,203318000000.0
Mongolia,2018,3208189,MN,46.8625,103.84666,13207000000.0,304365000000.0
Montenegro,2018,626438,ME,42.70868,19.37439,5509000000.0,102738000000.0
Morocco,2018,35839760,MA,31.7917,-7.09262,127341000000.0,2115935000000.0
Myanmar,2018,52272247,MM,21.91397,95.95622,67051000000.0,926613000000.0
Nepal,2018,28079689,NP,28.39486,84.12401,33112000000.0,610305000000.0
New Zealand,2018,4900600,NZ,-40.90056,174.88597,209747000000.0,3297361000000.0
Niger,2018,22188069,NE,17.60779,8.08167,12814000000.0,270733000000.0
Nigeria,2018,204938755,NG,9.082,8.67528,421739000000.0,4188443000000.0
Norway,2018,5311916,NO,60.47202,8.46895,439789000000.0,6565710000000.0
Oman,2018,4597877,OM,21.51258,55.92326,91506000000.0,1369552000000.0
Pakistan,2018,226928892,PK,30.37532,69.34512,356163000000.0,2411807000000.0
Panama,2018,4167860,PA,8.53798,-80.78213,67294000000.0,1149853000000.0
Paraguay,2018,6427382,PY,-23.4425,-58.44383,40225000000.0,596614000000.0
Peru,2018,31897584,PE,-9.18997,-75.01515,227583000000.0,3743448000000.0
Philippines,2018,109465287,PH,12.87972,121.77402,346842000000.0,6496060000000.0
Portugal,2018,10283822,PT,39.39987,-8.22445,242203000000.0,3952501000000.0
Qatar,2018,2580734,QA,25.35483,51.18388,183335000000.0,2909267000000.0
Romania,2018,19473970,RO,45.94316,24.96676,243651000000.0,4831843000000.0
Saudi Arabia,2018,30196281,SA,23.88594,45.07916,846584000000.0,13866012000000.0
Senegal,2018,15914498,SN,14.4974,-14.45236,23127000000.0,436120000000.0
Seychelles,2018,96762,SC,-4.67957,55.49198,1777000000.0,27628000000.0
Sierra Leone,2018,7554563,SL,8.46056,-11.77989,6390000000.0,104391000000.0
